akun;text
sandy.purwanto19;Jual negara secara tidak langsung
qoni.ahmad;4 turunan, jual negara itu namanya
ozar_aja;Pliss deh ada berita yang bermutu ngak Sih ,pliss ni ngak usah di publis dikit lagi Ngak jadi 😂
qoni.ahmad;Pikirannya sungsang
abdul_rahman280192;Yolaahhhhhhhhh🗿
sulaemanhamadong;Yang heran orang yang berpendidikan dan pintar semua takluk 👏
abdul_rahman280192;Itu namanya maksa, tau gak?? Maksa, kalo blum mampu, napa di paksain???? Bnyak yg lebih wajib di bandingkan IKN
be_politic_24;Kalau 500 tahun baru bs dipertimbangkan…😂😂
sudahsunatloh;🤣🤣selera humor pak R i 1 tinggi juga
rakhmat_ar;Mati matian merdeka dari penjajahan, ini malah 😂😂😂
taman.efolia;😮
oktarizaradenprabu;Seharusnya 350 Tahun seperti Belanda pasti Menarik 😂
hary.inst;Koloni model baru
bambang_kurniadi;Obral NKRI yg katanya harga mati. 👏👏
martha_aditya;Kok kayaknya nyari investornya ngebet bgt gitu yaa, kenapa yaaa, prasaan wakti si juniornya kampanye kemaren katanya investornya dah banyaaakkkk
nigellaugi;Kalimantan akan berubah jadi Singapura ?
amanda_bg17;Mending di obral lagi ke-belanda soalnya dulu ratusan tahun di indonesia 🗿
nandicode;Sekali nyalon lagi, bisa bisa Negaranya dijual 🗿
daudmr;Kasih aja sekalian gaes
aldino1714;Tau kan kalo barang gak laku, mesti di diskon gede2an. Coba pak ikut sope 8.8 besok sapa tau banyak yg minat
fia_lovehhh;Dia pake mikir ga sih ngomong gitu😂
diyanaanst;LOL,
mhdmuklisharahap;Berapa generasi yang kau korbankan ??? Tunggu nanti anak cucumu yang menanggung cibiran rakyat🔥
diks_spartan;Au akh...😂🤣😂🤣😂🤣
mrisha31;Pertanggungjawaban di Akhirat nya gimana tuh 🗿🗿 😢
aiheni269;Emang ga ada cara lain selain ini, kaya udah kehabisan ide gitu. Perencaan yg gak mateng asal buat, dari keuangan tempat. Sekelas negara kalah sama bisnis recehan yg harus mikir berulang, nganalisa trend kedepan. Yuk rakyat sadar ini
bryandominicccc;98
sukri112;Bingung cari modal negara dikorbankan...pemimpin jual negara
andrejose_qk;Dan masih 58persen🗿
basreng_mgl;HGU serasa HAK MILIK.... seperti raja terpilij
andyaso_18;Tahun ini ganti presiden, tahun depan ganti rakyat🔥🔥🔥
dedsecxasassins;Pembangunan ikn sampe 2024, akan tetap pake APBN 🗿
mr.allsundaay;😂😂😂😂
afrafarm;Kocak emang pemimpin yg satu ini
aliansimahasiswapenggugat;Haaa, NGOTAKLAH
ekoglen_071;RUMUS EINSTEIN VERSI JOXXXX: YA = TIDAK.... & TIDAK = IYA ...
yusrihusen;Penggadaian
kilustrator;Nyonyol
dinisriwulan1;KAREPMU WI WI, MAKSA
aanr_7208;Fir'aun
faufauziaa;Atur aja dah pak
rama_372_;Ussstt udah mau kalian komen apa jugak tetep tahta tertinggi dia yg menang 🥺🥺
carelleny;Pernah ada bapak dan anak bilang klo investornya sudah ada😂😂😂😂
hophopsiahaan;Sampek cucu bercucu..😂😂😂😂 gasss lahh
vider_01;Secara tidak langsung memberikan negara lain untuk menjajah lagi. Padahal Kalimantan dikenal Besar Pendapatan Daerh
s_h_elinanm;Loh ko pd komen negatif sih, bukannya dl kalian projo jg?
enricawidayanti;Rumus nya ngomong muter2 ga karuan biar lieur dulu baru deh inti nya belakangan, pendukungnya manggut2 tp ga ngerti mksdnya🤣🤣🤣
febriawan_94;gk sekalian aja di jual itu kalimantan
nurhalisahbatira;Di jajah presiden sendiri
yaniksety;Ampun di obral nggih Pak,
nilman_serasan_group;Lebih dr penjajah. Demi ambisi dinasti
wisatakiita;Titik kumpul dimana ini?
rohaendisandi;🤣🤣🤣
faqih.camarous;Nyuruh imdonesia di jajah lagi, dengan dalih investor
arrowdewaii;Lu ngutang gede gedean sampe rakyat di pungli in yg enggak enggak ky tapera dll,giliran jd lu jual ke asing duit nya buat bayar utang lagi..trus faedah nya apa ini semua,nyushain gak guna,gak bikin sejahtera
muteteriak;Penganggum Jokowi pasti tarif nafas melihat ini
hillmonddenny;Itu menciptakan penjajahan, merongrong pertahanan
astropitumy;Sampean presiden apa sales sih pak 🗿🗿🗿
radius.nugg;Sedih lah
alhanafisastra;Itu bukan menarik,tapi anda menjual tanah negara.🤦🤦
rahma_alafwan;Kenapa harus memberikan tempat pada orang lain, sedangkan rakyat sendiri di singkirkan. Coba berpihak pada rakyat sendiri InsyaAllah diakhir jabatan ada keberkahan dan selalu dikenang kebaikan nya. Kalau ini mah nanti sebaliknya.....aaahhhh sudahlah, semoga Indonesia mendapatkan pemimpin yg amanah dan takut dgn Allah.
azizys_;Lanjutkan? Wkwkwkwk
billybekisar;"Seandainya Gombloh msh hidup akan ada lagi ciptaan-nya lagu ""KU GADAIKAN BANGSA dan NEGARA Ku""... bhuahahaha... woaassyuuu tenan.."
itsme_zmz19;Hahahahah makannn tu indo emass🤣
hamim_aim;Kalian pada kemana dah? @dpr_ri
habiboy;Penjajahan berkedok investasi... 😂
dwijayaa;Dp sekarang free 10 tahun biar bulet 200 tahun
why_you.94;Pemikiran kek gitu muncul pas lg tidur, apa lg ngelamun, apa lg modol yak...🤣😂😢
lutfi_casualt;Inget ya 190thn , sama dia udah diitung , kira2 ini berakhir di masa jan Esteh , ehh siapa sih nama cucunya
khoirul7069;Bukan menarik investor tp menjual negara secara halus
amrul09;Tolong di blur min takut nambah dosa
blue_sky_012345678;Mirip Freeport...jaman dulu dikasih aja itu gunung ke Freeport buat narik investasi alesan nya....eh sampe skrg perpanjang terus kontrak sampe habis emasnya kali ntar...
yacub_fahmilda;Info daftar negera yang ngebolehin HGU 190 selain indonesia.
yacub_fahmilda;Kalau dari sudut pandang ini, berarti emang bener Belanda enggak menjajah 3.5 abad, tapi berdagang. Nah, 190 tahun ini, berarti membuka peluang pedagang baru yang modelnya kaya Belanda di masa lalu?
augustfishing;Sekali aja sampe kiamat.. tanggung klo sgtu 🤣🤣
ekoprihtianto;Dutinya pasti abis jd bingung mesti gimana ya jd harus gali lobang tutup lobang😂
octa_viandi;Jual aja udah sok2 an pake kata sewa 🤣
muh_redhuan;Presiden 7 turunan sama ke anak cucu
yudabayuraditya;Obral IKN
arsenal_syahendra;👀
gammarentcar;2027!!!!!!!!!!!
maraja_ecosinergy;Emang boleh? Apa gak ada undang2 yg membatasi persoalan ini?🤣🤣
nanafspmiyahoo.com9;Umur manusia pling banter 70 tahun,sisanya  d wariskan anak cucu😂
reskaond__;Maaf bacanya tadi, aturan gak guna😢
bryanfs_;😮
kgals_;Ga nyangka pak wiwi udah ga ndeso & merakyat lagi skrang ,🔥
amnhesia_1;Orba ga begitu
mufifahim_wicaksono;Apa 190th kedepan akan dijajah lagi,
ihwanpramudita;Yg komen anak abah semua 😂
bachroel.ulum.1;Macam barang aja di obral abs negeri ini....190 tahun tergadai ya negeri ku.
sastra_96;Awokawok🤣🤣
moest_tika;Pak, saya mau ikutan jadi investor
gilbert_sinulingga;Indonesia gy ngemis2 investor
danil_bath_up_016;Bedanya apa sama freeport dijaman soeharto…
ruihanazawa;Ga 190 tahun juga pak!!! Jaman kolonial aja cuma 75 thn. Hongkong juga cuma 99 thn… ini hampir 2 abad. Bapak mau orang invest atau sebenernya jualan negara ini?
aji_so_ko;Maaf kan saya salah mencoblos... kalo gini2 terus mana bisa maju negara ini. Target 2045 indonesia emas tnggal 21 tahun lagi.
ambia__02;Sama saja sperti menjual negara kalau hgu 190 tahun..berapa keturan kita itu kira2 ya?
marteennings;Lg promosi ya pak Krn nggak ada investor yg masuk? Bingung,udah terlanjur ngomong mau upacara 17 an di  IKN? Nafsu...nafsu...
fajri_nasma_paskoba;kt dari merdeka aja blm sampe 80 tahun
citradaniaty;Makannya kalo ga ada uangnya ga usah maksa bikin ibu kota baru 🤣🤣
markahasa;Jual pak semua nya 😁 lumayan bisa nyiram lagi pemilu depan 🤣
cpcomputersemarang;58% Pasti bangga nya gak ketulungan 😂
muhammadfarhan_ang;190tahun? 😢
wawaefshiceper;Otak nya di taro di toples
al_jackkk;Kalo masa jabatan mau selesai ada aja drama ee
rizkiramdani42;Rumus berkebalikan?
ahmadrifai.d;Pahlwan  dg tumpah darah melwan memerdekakn merebut dri pnjajah belanada 3,5 abad berjuang. Eh di gadai di rusak oleh 10 thun kepemimpinan si kacung pinokio  manusia gorong². Warga kalimanran heii mohon buka mata kalian.
mokidev00;Tanggung sekali 190 tahun pak. Disamakan saja dgn masa penjajahan dulu biar mantap 😂😂
irone.i;😂
k4bento_77;58% mana suara,mu jgn tiarap...🤣🤣🤣 rela loh negri loh di gadaikan 190taun..😂😂😂
susilohari06;Investor dikasih hak tanah hampir 2 abad, dokumen perjanjiannya bisa disimpan di museum 😂
my.rhien;😮
henhen_s;Udah se pulau kaliamantan semua aja kalu mau di jual mah jok, pakai bahasa halus HGU segala.. hadeuh 190 tahun  2 abad kurang 10 tahun gitu ha bisa emang 3,5 abad biar sama kayak belanda menjajah kita yah..🤣
hadi_eswe;Untuk kelompok iq 78 sih ga ada masalah asal bantuan jalan terus😢
joyobroto38;😂😂😂😂😂😂😂😂😂😂 diobral diobral HGU HGU
yayuk_sunarsih;Kenapa gak selamanya saja biar pendukungmu makmur boss
zatr234;Kok diam aja ya udah kelewat batas nih
kamilsiemin;Konyol
sheno_fs;Ga bisa pak kalau bapak non blok, coba bapak pilih satu aja blok Barat dan blok Timur. Jdi biar dibantu kalau kayak gini ga akan jadi blum SDM bapak ga maju lQ masih dibawah negara asean lainnya 😂😂
mustofa74;Gak ikut punya tapi ikut jual
bebenknamisetiawan;babat habis hutan kalimantan,,, hebat berul👏
zaidan__maulana;Keburu kiamat pak 😂😂😂
nninaher;190 tahun sama aja menjual negara, hhhhuuuuhhhhhh
putralubukmalako;Mulai lagi di janjikan,janji manis,paling ngedaprus lagi...
azissamaila;Cukup jgn di tambahin lagi...byk2 istigfar ..😇
hendrabroor;Omdo😂
oo_ney;Ininorng dosanya smapai kiamat kyaknya thd bangsa indonesia..
4n4n6.property;Angel wes... Angeelll....
ferryfhonska;Tukang ngibul
ryandkpr;Papua udah dijual. Kalimantan OTW
ranggrind;IKN = Ibu Kota Nepotisme
zainalcombo83;apa ini negara miik jokowi?
sri.subekti;Sampai anak cicit 😂
galihsatriabuanaputra;INDONESIA EMAS 🥱
mhmdnazmi08;Katanya Kan dulu udah banyak investor ngantri? Kok..🗿🗿 sudahlah 🗿
azwinfathur;Gak sekalian aja 350 tahun, biar sama kaya penjajahan belanda...bener2x keblinger ini manusia
kharazayyay;HGU hak gue urusanloeape😂
agungkuswoyo8;Lucu
bunda_zenab;Ya Allah kok sampe 190 THN, kasian anak2 cucu, buyut dll..ada gtu yg umurnya nyampe 190 THN?
amirsemarang;bahaya
jonskindesky;58% masih joget2 kah??
listianitia_rukanda;@_rezafikri
redrock2775;Minta sekalaian dijajah saja🤣🤣🤣🤣🤣.... Coba datang ke Israel
noviarifianto;190 Tahun, 4 generasi 🗿bpk ini kok semakin , tolong Rakyat kita bersuara.
azima_15;Itu artinya IKN gak laku sm invetor, yaaa di obrallah
chandraagusdiansyah;Kasih gratis aja pak De sekalian
romymartias_;SANG DEMANG
brogunners;Kacau
padmanabapriyanto;Bersatu kita teguh bercerai kita runtuh... Kudu pie saiki?
xyaztflow;TaperaPPN 12%Pph 21Pph iuran bpjs pembatasan bbmbikin sim harus punya bpjsdahlah capeeee🗿🗿KAlO BUAT MERES RAKYAT ADA AJA IDE NYA…
yulisuhendar21;🙃
atiraja1972;ini namanya melacurkan negara ke investor atas nama kesejateraan rakyat. dimana kewarasannya sebagai seorang pimpinan negara
dnksm08;Emboh wi
hesty4hmad;190tahun emang bumi yakin masih ada? Siapa tau udah jadi padang mashyar😂
ekhy.pranata;Sdh pak... klo mmg tdk sanggup, ndk usah dilanjut... kita jg bersyukur klo gak jadi
akin_grow;Susah sama orang ga berilmu ...ga ada ijazah
sabarjarekriez;Negara sedang di gadai kah...??
debbyccd;😂😂😂 Siap-siap Indonesia dijajah kembali tapi melalu bidang perekonomian 😂😂😂
m.basir.thea;Yang di pikirkan  kesejahtraan rakyat, adil merata., harga² murah terjangkau, .,bukan investasi saja.
alli_chaidar;Ambisi pribadi yang mengorbankan seluruh negeri.... Sungguh naas nasib ibu pertiwi setelah kekuasaan dipegang oleh ................ (Cukup tau kaan??!!)
namasayarossi;Baik bener presiden, sudah mikirin negara sampai ratusan taun kedepan
wahyu_h777;🗿
devinobuyung;Makanya bosss, kerja yg masuk akal aja
dymiterasu;😂😂😂
a.rizal270372;dunia x sdh kiamat pak ..😂
chandra_deni_07;Biasa nya orang buat sedekah zariah, nah kalo ini dia buat siksa kubur zariah
wildan_adzimi;Atur saja pak
raisz9;10 thn kerja cmaa bisa dinasti politik doang🔥🔥
_vvibowo;2perioede Ngejabat, 2Abad kena dampak. Ngeri amat ini owi
iroel_benyox;Wau 🤣
jojo_pardez;Jual aja om..sekarepmu lah
handsmiling;ya ga gitu juga caranya lapett
fajaralfahd;😂👏👏👏
ametzz_dkieriezz_oase;Entah amal / Dosa Jariah mu mengalir
itsme.ahmed90;Gausah banyak komen, nikmati saja hasil pilihan kalian 😂
iammoabd11;Presiden tukang gadai 😮
icha.ishaq;350th utk ngusir penjajah..era baru 190 th welcome ..jauuuh maennya
satria_efhendy;Jangan menjual negara
dzakiyamulia;Itulah perlu nya nya pemimpin yg cerdas ..@aniesbaswedan
m.rialdy_syn;Menjabat dua periode, efeknya terasa hampir dua abad
suwardanalalis;Duh 4 generasi 🔥🔥🔥 menyala wi
tubagus.rh;Ini sih bukan HGU, lama amat 190 tahun 😂
ahmat_shofa;Suka suka kau aja pak
imam.abu12;Knapa gk lansung bilang jual sj 190thn itu 3 turunan generasi  paham
_yansyah1998;Dan pendukung nya masih bnyak 🗿
azwardine_unde;🤦🤦🤦🤦🤦🤦 nanggung pak
zulhammuchtar;Terserah saja pak, intinya gw ngk setuju, soal nya bapak joko dan opung uhut kemarin” bilang banyak investor, good job bapak pendiri IKN, nama mu akan di kenang rakyat mu 🤔🤔
ibnunurhadi8;Ga bahaya ta, akhirnya jelas tidak ada yg Mau Berinvestasi di IKN
poulmeclos;Kmren pendukungnya nyerang Tom Lembong, skrg omongannya terbukti kan?! Malu org mah paling tidak punya malu!
abud_nugroho;Sekelas rt jadi presiden...hancurr
rifai4297;Knp gk di samain 350tahun seklian
ardi_sek;Gak tau kenapa pejabat tiap mau abis kontrak pasti bikin kebijakan yang bikin susah rakyat.
_straightnoodles_;Habib Rizieq was right
permana.ginanjar;Salah kaprah
al_fatih_hidayat;Gokil 🥺
ebitwahyudii;Pengen liat reaksi para pemuja bapak ini.
bungrs11;Utk menebangnkayu lalu dihabiskan hutan, hasil kayunya dibuat mebel lalu di ekspor.. habislah hutan kita. Ini dlm konteks kecil saja
ihwan_noerkim;Lah anaknya kemarin waktu debat perasaan ngomong yang investasi udah banyak deh 🫣🫣🫣
mazz_teguh_gokilna_mie_preman;190 tahun mungkin kita sudah jadi tanah...kasihan Anak cucu kita, kembali jadi jajahan negra lain..
sium_97;Ngeri sih ini, 190 tahun kalo misalnya saksi udah ga ada dokumen hilang ya sudah wasallam jadi hak milik pribadi 😢
ali_antemas;Pertumbuhan ekonomi yg dijanjikan 10th lalu sampai sekarang cuma berkisar 5 persen, engga pernah 6 persen, artinya kenaikan indeks pertumbuhan ekonomi engga bisa naik sesuai keinginan Krn kurangnya investasi dr luar dan kepercayaan dunia bisnis..jadi percuma mau kasih berapa lama, yg ada nanti jdi kasus Freeport zaman Suharto, anak cucu engga bisa ambil alih
herdiladchi;Sick
ir.masbukh;SINI YANG MASIH BILANG.PRESIDEN TERBAIK.., PINGIN NGEPLAK NDASEE!
khairulnata18;Demi ambisi apapun dilakukan...
ipans60;itu namanya dijual jokowi
yannuar9065;Katamu udah byk yg ngantri.. bhkn kata anakmu pas debat ydah byk investor.. skrg 190th ya Allah...sampe kpn ini berhenti
raamzjalie;Dalam 10 tahun fokus k undang undang trus pak. Kapan ngurusin rakyatnya...
iqbalhanafi08;Bayangkan 190 tahun 😢 tapi ywdh  Keinginan 58% rakyat Indonesia 👏👏👏
su.trisno2838;Gak sah hgu,, berikan jadi hak milik aja sekalian
muh_azhar12;Ngejual tanah indonesia maksudnya?
muhamadsaepulohh_;Vesting airdrop juga ga sampe 150🗿
nandang_purnawan;Demi IKN ijin penggunaan lahanpun di obral.😢
kuliwatu;indonesia baru merdeka 79 tahun.. masa mau disalip
elynafzailani;Dijajah Belanda 350 taun. Dijajah Jepang 42 taun. Merdeka 79 taun. Digadai 190 taun.
omsuisme;Blok
omsuisme;Tol
omsuisme;Lol
omsuisme;Gob
omsuisme;Kon
omsuisme;Yol
omsuisme;A
saekhulh__;🤣🤣🤣
im_rismaabdillah13;Ngalahin era penjajahan Belanda pak👏
ana.sopyana;Mukanya POLOS banget sihh, tapiii ???
eq_abenk;😂😂 cm krn ambisi & kerakusanx, negri ini pun djual 🤣🤣🤣
ran9_9a;gorong2,esemka,10 juta loker,bansos,kereta cepat,ikn,demokrasi keluarga ....heran masih aja ada yang milih anaknya
hiroshiumeda;Ya Allah turunkanlah pertolonganMu sebelum hancur negeri ini.  Aamiin
heryawan627;Perasaan dulu penjajah belanda juga nggak seratur ratus tahun banget
agam_lookman;
thasyakevin;Mumet🔥
putera2629;ujung²nya kyk freeport 🗿
dedenhadiansyah07;Asal hgn ngomong pak,..liat rakyat mu yg masih banyak kesusahan dmn mn?
ahcmad.ayala;Laauurrrrrrrrrrrr biasssssssssa
indralaksana_09;UUD1945: Penjajahan diatas dunia hrs dihapuskan, eh malah ngejajah di negri sndri😅
dibacadoang;kelak bangsa ini akan akan menaburkan tanah hitam di atas kuburan anda apabila kebijakan anda hari ini membuat anak anak bangsa nya sulit di masa depan, karna kebijakan kontroversial anda yang cenderung lebih berpihak kepada kemudahan kepentingan elite dan para konglomerat.
david.yn_;Indonesia aj msh 79 th lho dsr pinokio
basoeki_widjaja;Fik antek aseng
dmuesthadiharjo;Melontekan kalau menurutku
oong_khoerudinnn;Btw Investor kira2 bisa diboongin ga sih?
saktiwisnubayu;😂😂kasihan org ini ya sbnrnya...
farzzsann;ugal-ugalan banget
4drianlutfi;Menyesatkan 🔥
alghifaarrii;Orang Kalimantan diam aja kah?
123miftahul_huda;Yang bener mana pak omongannya katanya investor banyak
mhmdnur_majid17;Diobral cuci gudang guys
iqbal_srg;Kau kira negaramu sendiri
ramdhoni_doni;Kayanya keburu kiamat deh...sekarang aja udah 1446 H
adiparmono_;Harusnya bukan lo yg jok
rudy_nyoman;NGGGA SEGITU JUGA LAMANYA.....JGN MENGGADAIKAN NEGERI INI........IKN LANJUTKAN DGN PEMBIAYAAN TIAP TAHUN.....,..NGGA HARUS MENGORBANKAN TANAH AIR..INDONESIA...........BUKAN MILK NENEK LHO NEGERI INI
ikhsyan11;Klo kita berpendapat nti 58% bilang kita tdk move on , dibilang anak Abah inilah itulah. Tpi melihat makin hari makin2 aja kebijakan mereka 58% pada ngeluh apa senang yak 😂😂
oxytron21;🗿🗿🗿🗿🗿 kocak
riskuadrat;Hak Guna itu sarana prasarana?? gua beneran gk tau
purwo_pebrianto;Tukang ngapusi...
andrecoustic;voc vol II
mazid8485;Dulu bapak sukarno pernah ngmong Jng biarkan org asing beli tanah di tanah kita....dan akhirnya kjdian jg kita jadi budak di tanah leluhur kita sendiri
f1riman;Musyawarah sama siapa pak?... Kok gak ajak masyarakat 🥲
febianreska;Atur pak atur ini negara kan anda yg punya, siap2 aja nanti ya pak pertanggung jawabannya 🙏🏻
jhonjav76;Mberuh wi ah,
deni.sudrajat;Joke 🗿
fathishakkaki;Osong komong!
kataapiw;Flawed democracy
ahmad_zam_zami_96;Jual kampung lu aja wi.. Solo noh
lawan.tyrann;Ternyata lebih lama dari Freeport 😂
ahmad_zam_zami_96;Yg masih bilang si wiwi. Baik... Coba cek ke RS GROGOL
riana_agustiana;Jual w atuh pa Indonesia teh kagok
ngatijotejo382022;Membangun ko utang . Negara sebsar indonesia . Mustinya malulah bangun ibu kota uang utang / orang laiin . Banguun ibu kota itu harus matang punya uang sendiri . Baru top markotop .
guslindawati1;Siapa sih yg masih hidup selama 190 tahun ?
poetryardhana;Ujung²nya jual pulau 😂
alvienbodag13;Bodo amat 🤣
noor_arief_hidayattullah;Dia mnjabat 10 thun, tp bsa buat investor berkuasa slama 190thun, mau bilang apa y🗿
_dony.r;Gw mau tanya nih apa bedanya negara luar yg melarang kita ekspor bahan mentah sama sistem pemerintahan kita skrg yg masih menurut semua pergi ke jakarta. Persamaannya sama2 menciptakan keuntungan bagi diri sendiri dan menjadikan wilayah atau negara lain cuma jadi pusat industri. Kalau apa yg dilakukan negara barat itu mereka ingin untung karena bisa memperoleh bahan mentah kita dan dapat nilai tambah. Sementara kita cuma jadi kacungnya. Kalau sistem pemerintahan kita skrg yg terpusat di jakarta itu juga sama. Pengusaha yg sebelumnya berdomisili di daerah karena pusat ekonomi di jakarta akhirnya mereka tinggal dijakarta dan malah bayar pajaknya dijakarta. Apa dampaknya, ekonomi DKI makin besar, GDP jakarta makin naik, terus daerah cuma jadi congor, dan pusat pabrik doang. Untuk itu makanya ibukota dipindah biar gulanya nyebar, dan ekonomi merata. Bukannya malah senang justru kita malah ngerecoki atas nama demokrasi. Demokrasi kok stagnan, ideologi apapun itu bisa membuat kita naik kelas. Bukan melulu ribut politik dan urusan pragmatis. 😢
2s_wahyu_d2;👻 bacot sang BPPR/BapakPribumiPenjajahRakyat
regall_tw;Wkwk
me_myself1000;Penjajahan ke rakyat
st.our.ies;Bac0t
ayah_rumaysa;Keluarganya ditelan bumi..anak cucu bangsa menanggung beban...Ya Allah ..gini amat penjajahan dinegara merdeka ini..yang mendukung silahkan pertanggungjawabkan di dunia akhirat
haulanichanel;Presiden dagelan
aldokohimawan;Kok lama2 kayak Marketing ? iklankan di OLX aja pak😂
muhamadsopan;Hutang dan hutang berkedok investasi.  Ambisi yang sangat mencekik rakyat.
rahmatul_saddam;Dan masih ada yang percaya sama Pinokio ini di bela mati matian😂
danirampal;Dulu cuma pulau dijual nah skrg Negara yg dijual berkedok investor
supriyanto_sang_aristokrat;190tahun menarik penjajah
riyaaannnn_;Apaansi
rudy_buntar;Makin parah!!!
uman_numanz;🗿🗿🗿
muhammad_harjuna;Knp gk skalian 1000 thn🗿
aditya_kumara44;Alhamdulillah gak ada beban dunia akhirat, 2 periode gak milih ini makhluk😂
bayuput;capek capek ngusir ini malah ngundang
amlfzn;lucu sih gak pake logika 190th yg bener aja jok
rio_foker021;Ingat nama nya @jokowi
januarsyadjs;Tunggu hmmm... 190 tahun berarti nyampe ke cucu cicit jan estes 😂
ronalanwar9;Sekarepmu
96nurmala;Au ah gelap
gunawanwibisonoregama;Pondasi ekonomi RI rapuh.utang membengkak, sembako sebahagian besar import.sarjana banyak yg nganggur. Rupiah melemah .dll
wangg4i;Salah satu prestasi nya adalah memelihara org miskin supaya ttap bisa diandalkan 5 tahun sekali
d2_ramdhan;mukidi tukang ngiboel 💩💩
garissurya;Mdh2an jelak ada naturalisasi presiden/calon presiden
pranat.p94;Parah men
harlina_be_calm;🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
hamdan_marpaung;Mau komen tapi takut di ciduk...🥲🥲
aulmatul;bacot
sulaemaneman07;pak tolong Jagan nyusahin generasi setelah bapak
ainun_najib25;gagal gagal
danu.dsgr;The simpson. Borneo yg akan jadi singapura🔥
amandasalimp;Ga bisa dipercaya 🗿 mana ini yang milih dia kemarin
mukhlas761;Dilanjuti sama anaknya lagi ntar selamat🤣😂
shany_atmaja;Di obral saja ga laku.... Kasian negeri ini 👏👏👏👏
djoko3160;350 tahun di jajah, 79 tahun merdeka,,, ehhh ngasih 190 tahun ..😢😢😢😢..
onciiss;Penjajahan ... Pola fikir nya dmn 🤣
jagokluruk221;Modelan begini dipelihara rakyat mayoritas..
farranugerahs;Investasi raimu
aguswahyudi5864;Terus terang ajalah kalau mau jual kalimantan 😂😂 pakai akal akalan inves 190 taun, umur anda sama anak anda aja belum yakin bisa nyampai segitu
rendy.s_stories;Umur negara dari kemerdekaan aja blum sampai 190 thn
suharindarto;KAREPMU GUSTI ALLAH MBOTEN SARE
ibnuuzaky;Udah ada yg tertarik belom pakde??
premiumcloth.shop;190 ke depan Bapak lagi ada dimana? Dan lagi ngapain kira²?
reennddiii;Jual aja negara ini pak
aldi_nataa;@gibran_rakabuming  katanya banyak yang antri bro
kepin4_;Mentolo
sll_rmdhn;Mindset pakde,mending saya gadai kan negara ini daripada ambisi saya untuk bikin legacy kepemimpinan gagal 😂
andre_setiawan___;🤣👏
rithawira;Astagfirullah. Bagaimana juga kabar masyarakat adat yang harus menghadapi aparat dalam  mempertahankan tanah mereka.
alwipurnomo;Jok jok leren’o nang omah sing anteng karo ngopi item
rudy_wicaksana26;Untuk menggadaikan negara secepat2 nya 😅😅😅
helsysyahputri23;Hapus min gw lg byk pkiran
anyelir443;Kira kira 190 thn itu berapa hari ..berapa generasi ..dn terutama berapaaa duwiiiiiiitttttt😂
sofyan_muharam;😢
muchlis_slow;Dan kata pendukungnya, presiden terbaik sepanjang masa
ari_alfika;Hmmmm alah.
miyadzaky;Investasi macam apa 190 th... ini presiden Indonesia masih waras ngak sih...
jemyhasili;🤣
4d_guppyfarm;🤣🤣🤣🤣🤣
illusi_2512;Indonesia lho pak merdeka baru 79 th ini kalimantan mau digadaikan 190 th ..nyesel milih jokowi
ika.kirana.18;Yakin umur dunia nyampe 190thn lg?? 🙃🙃
rizzzcky;Mo jual indonesia Lu bos
siprima.ariya;Kacau kenapa muncul 190 tahun
alextrisno;Tukang mebel ipk 2 yg dipilih jadi prisiden yg ga tau apaa... banya karena saat kampanye pakai kemeja putih 100k.. hancur sdh bangsa  ini dibuatnys😢😢
al_kavi;Iya emang belum ada yg masuk satupun 😂😂
alextrisno;Ya allah.. bapak ini yg membuat kita sedikit terhalang masuk syorga...
yatz_suryatna;dia orang yang punya negara biarkan 😂
morimasu3590;Makah buka gerbang dijajah🗿🗿🗿
bagus_chandra_yudhistira;😂😂😂
waynesugenk;bapak Soekarno dan pejuang menangis melihat ulah nya😢
1444.aditya;🗿😂
afrulnizar;Tanggung banget 190 tahun, 1900 dong wi
nicksiregar;Ibukota baru sejatinya kan utk pusat pemerintahan tapi kok lagaknya jadi pusat bisnis, oh iya, namanya juga mister kebalikan 😂
im_maul_;Yg herannya masih ada aja manusia yg nganggap nih org bagus
silmiiiii;INVESTOR YG KATANYA SUDAH BANYAK ITU PADA KEMANA EMANGNYA PAAAAAKKK??
xdoneex;NKRI harga diskon
putriiinurmala;190 tahun udh berapa generasi itu pak? Menjual berkedok investasi 😄
kiagusrahmat5;Masih nggak laku juga sebelum lengser dirubah HGU nya jadi seumur hidup
carikpelangi;Kok nanggung, harusnya seumur hidup
erfin529;Angel wz..angel...😂😂😂
hafidzannuwar;ramalan the Simpsons
julpandri29;Woiii sampe kiamat aja buat 🗿🗿🗿
arkaa_626;Emng ada yg mau ?😂
dian_elfas;Banyak yg antri 🗿
pailianbang;yg kasih ijin sdh pada mati semua tinggal yg ditinggalkan saja nanti bingung koq ada yg kelola tanah negara selama itu , moga sj dokumennya tersimpan rapih kalo ga mungkin sdh ada yg jual nanti tanahnya ke negara asing ....
hendra_2105;Masih inget bangat sama kata2 nih orang kata nya 11000 T disimpan diluar dan dikantong nya lebig banyak lagi , nah itu uang nya dikemanain apa abis dibagi2 wkwkwk terus stop import dari luar kaya beras salah satu nya ehh tau nya paling besar import beras nya wkwkwkwk
al.raka.731;Benar kata RG, baj tol
dwwiwae;Ga Ampe kiamat aja ....baginda
