akun;text
lazuardilatief;Singapore itu cuma dahulu sekali bisa beli unit SHM. Sekarang beli property di Singapore cuma bisa sewa long lease 50thn, 35thnan. (Dahulu 90thn tapi udah nggak ada lagi karena lahan terbatas). Skema HGU memang bukan hal yang baru. Cuma dengan rentang 190thn rekor juga walaupun 95thn do review boleh ambil 95thn lagi.|@lazuardilatief Sebenernya model skema HGU di tanah pemerintah udah banyak ya. Sistem BOT namanya. Sewa jangka panjang 35thn lalu dibuat mall, atau office building, apartemen. Nanti waktu habis masa sewanya apakah dikembalikan ke Negara atau di perpanjang, spt tanah2 sekitar senayan,  atau Mall Grand Indonesia tanahnya juga punya pemerintah. Talpi emang 190thn rekor juga sih.|@lazuardilatief pak jokowi niru freeport...
johnsonmartahan;Masih ngotot mau upacara 17an tahun ini di IKN?😂
riskianandaa_;Pahlawan nasional mempertahankan tanah air smpe rela mati di medan perang, sekarang malah diobral flash sale 😭😭
erwiindotcom;Aku kira Leader , ternyata Dealer..
adjihendy;Luar biasa...dampak nya hampir 2 Abad!
benztotto;Londo Ireng ini ternyata....
pankber;penentuan lama nya HGU ini ada UU nya kah?atau sesuka hati Presiden saja?
djagadfoto;Duuuh. Dulu aja Belanda nggak segitunya.
dodiknurrohiim;Bukannya kita baru merdeka 78 tahun yak.?|@dodiknurrohiim nice 👏 gatau 95 thn kedepan bakal masih going concern atau tidak. Bukan hanya lama sewa saja jadi pertimbangan, tapi seberapa cepat modal kembali dan menghasilkan profit|@dodiknurrohiim tenang aja si, kita udah p3ngalaman 350 ngab.😂
rist_yanto;Kekuatan merusaknya melebihi pendahulu nya....😢|@rist_yanto owi the destroyer
arfzulfikar;Sejarah berulang, dulu VOC bersekongkol dgn tuan tanah. Nah, hari ini tuan tanah buka pintu buat VOC 🫵🏻😖|@arfzulfikar pak @jokowi mohon dipertimbangkan lagi, jangan sampai sejarah mencatat setelah 350 tahun “dijajah” belanda nantinya ada 190 tahun “dijajah” investor IKN|@arfzulfikar maksudnya tuan demang ya😂|@arfzulfikar terang menderang lg anak negeri terjajah lg😮😮
ottosan_;Sok2an ngambil freeport tp malah buat freeport part 2 ni org😂|@ottosan_ buktinya aja blm ada kalo Freeport milik kita|@abay_milan nanti bang kalo emasnya udah abis|@ottosan_ uu itu bahaya gan|@ottosan_ itu cuma strateginya freeport biar nanti kalo cabut dari Indonesia, rakyat sekitar menuntut atas kerusakan alamnya ga ke freeport tapi ke pemerintah Indonesia|@ottosan_ 😂betul jugaa.. pengen di kenang sbg pleciden terbaik tp justru terburuk wkwk
